16758,27614,16414,15752,16240,15946,15717,15955,15717,15989,15664,15848,15537,15856,15608,16024,15673,15850,15642,15882,15920,15636,15880,15625,16213,15547,16049,15536,16048,15621,15987,12149,15704,15739,15709,15712,15700,15650,15606,15643,15664,15631,15713,15677,15637,15647,15660,15648,15624,15681,15725,15649,15628,15739,15685,15745,15698,15761,15742,15690,15720,15761,15708,15705,0,21
16775,25782,16440,15773,16214,15970,15759,15980,15758,16008,15680,15869,15574,15868,15644,16016,15691,15853,15680,15917,15912,15687,15896,15675,16222,15594,16043,15602,16043,15670,15986,12142,15715,15747,15728,15733,15682,15644,15612,15640,15679,15632,15713,15701,15656,15643,15673,15662,15634,15692,15738,15660,15665,15740,15697,15753,15697,15758,15742,15697,15737,15782,15701,15715,0,0
16765,23192,16403,15733,16203,15961,15762,15944,15743,15975,15696,15839,15569,15855,15652,16011,15684,15851,15667,15910,15918,15671,15843,15679,16195,15620,16033,15600,16056,15709,15973,12139,15715,15740,15699,15720,15688,15639,15601,15625,15684,15624,15700,15670,15641,15641,15674,15647,15633,15677,15720,15648,15647,15728,15679,15742,15709,15745,15725,15683,15716,15776,15696,15707,0,234
16774,20439,16414,15741,16208,15976,15755,15968,15747,16003,15700,15876,15593,15857,15638,16024,15702,15840,15659,15897,15891,15698,15866,15659,16214,15613,16050,15601,16054,15690,15953,12146,15712,15728,15713,15716,15694,15638,15600,15634,15670,15639,15721,15699,15635,15652,15667,15667,15634,15682,15730,15630,15630,15740,15678,15750,15701,15755,15727,15707,15748,15774,15693,15695,0,57
16758,18196,16435,15735,16218,15957,15742,15956,15721,15976,15690,15857,15560,15832,15655,16031,15684,15869,15651,15877,15914,15661,15883,15624,16215,15614,16039,15557,16038,15680,15986,12147,15709,15740,15707,15704,15694,15629,15603,15637,15675,15626,15715,15687,15650,15647,15665,15649,15621,15689,15722,15632,15634,15732,15703,15735,15703,15749,15729,15688,15724,15767,15704,15696,0,92
16765,16976,16431,15737,16212,15962,15728,15965,15706,15978,15669,15843,15552,15858,15613,16047,15665,15846,15629,15856,15897,15646,15858,15625,16206,15579,16031,15555,16038,15657,15980,12149,15712,15732,15704,15703,15686,15641,15602,15643,15662,15658,15720,15692,15629,15648,15671,15650,15603,15693,15717,15630,15645,15738,15677,15738,15691,15755,15745,15689,15730,15786,15720,15711,0,207
16782,16743,16429,15779,16221,15954,15725,15968,15740,16002,15666,15859,15587,15861,15646,16024,15692,15848,15685,15907,15913,15661,15901,15636,16221,15620,16060,15576,16058,15697,16017,12143,15700,15734,15720,15731,15694,15632,15618,15646,15685,15643,15727,15695,15664,15651,15671,15659,15628,15690,15736,15648,15645,15735,15701,15753,15711,15774,15733,15698,15732,15762,15728,15716,0,108
16776,17106,16414,15733,16221,15977,15722,15963,15736,15971,15645,15868,15547,15847,15615,16024,15688,15864,15636,15893,15905,15632,15888,15622,16225,15568,16060,15549,16016,15676,15967,12146,15708,15733,15707,15708,15687,15651,15595,15624,15658,15633,15723,15686,15650,15643,15659,15664,15603,15701,15727,15629,15632,15735,15687,15737,15700,15755,15732,15690,15733,15776,15717,15711,0,110
16743,17855,16414,15710,16230,15935,15687,15936,15688,15987,15642,15857,15521,15831,15606,16023,15645,15849,15616,15891,15889,15621,15871,15574,16206,15550,16038,15526,16022,15622,15968,12146,15699,15718,15704,15696,15702,15645,15588,15644,15657,15635,15691,15693,15623,15642,15655,15655,15612,15687,15723,15621,15647,15730,15690,15724,15692,15763,15734,15677,15717,15732,15719,15679,0,83
16747,19012,16434,15715,16233,15938,15711,15943,15720,15982,15626,15824,15526,15857,15592,16012,15640,15848,15619,15855,15889,15633,15857,15583,16225,15566,16031,15528,16043,15594,15978,12145,15721,15703,15715,15678,15691,15647,15579,15649,15637,15637,15689,15692,15616,15639,15637,15649,15600,15683,15724,15616,15635,15700,15673,15714,15699,15725,15726,15660,15725,15749,15713,15680,0,241
16698,20629,16402,15708,16216,15954,15685,15961,15687,15972,15641,15821,15488,15828,15565,16005,15626,15832,15595,15847,15874,15599,15837,15560,16207,15527,16048,15504,16031,15586,15978,12145,15696,15689,15699,15666,15691,15625,15560,15627,15644,15624,15669,15674,15625,15641,15634,15651,15575,15676,15710,15610,15642,15690,15675,15711,15697,15735,15705,15655,15737,15753,15698,15671,0,106
16726,22566,16428,15730,16216,15937,15694,15951,15697,15986,15636,15842,15526,15829,15611,16006,15657,15836,15623,15862,15912,15622,15850,15595,16176,15584,16045,15540,16043,15631,15986,12148,15719,15701,15707,15680,15693,15642,15566,15621,15636,15639,15685,15686,15629,15647,15630,15656,15599,15689,15730,15601,15645,15716,15684,15718,15701,15744,15748,15653,15746,15739,15709,15667,0,224
16756,24637,16410,15714,16216,15962,15707,15941,15689,15990,15668,15854,15542,15835,15597,16023,15651,15832,15634,15863,15942,15640,15882,15591,16219,15568,16038,15529,16026,15625,15982,12144,15717,15727,15705,15698,15705,15644,15579,15646,15646,15650,15700,15684,15635,15651,15653,15673,15617,15689,15729,15624,15652,15726,15696,15738,15714,15765,15756,15680,15738,15748,15716,15687,0,169
16731,26528,16415,15733,16246,15962,15737,15972,15703,15997,15671,15851,15554,15858,15613,16035,15679,15870,15632,15893,15909,15649,15888,15614,16218,15588,16036,15541,16061,15673,16001,12143,15722,15734,15705,15689,15703,15639,15599,15654,15666,15649,15690,15690,15633,15641,15661,15664,15601,15700,15736,15621,15653,15715,15683,15729,15701,15744,15734,15697,15736,15757,15712,15702,0,133
16720,28073,16410,15716,16248,15963,15702,15956,15713,15982,15650,15818,15524,15815,15603,16005,15660,15854,15609,15844,15886,15629,15855,15595,16188,15545,16032,15527,16021,15628,15977,12144,15713,15684,15711,15666,15691,15626,15578,15620,15633,15643,15667,15693,15620,15638,15626,15636,15583,15664,15725,15631,15634,15712,15662,15723,15692,15729,15715,15659,15730,15739,15709,15677,0,255
16736,28648,16421,15700,16223,15952,15709,15952,15699,15983,15634,15849,15523,15847,15590,16021,15636,15831,15619,15852,15883,15610,15876,15561,16211,15538,16036,15526,16021,15616,15968,12146,15709,15704,15712,15683,15693,15637,15576,15619,15661,15639,15687,15697,15626,15642,15650,15661,15596,15692,15728,15630,15633,15714,15685,15726,15696,15744,15730,15671,15713,15758,15721,15674,0,116
16763,28544,16428,15751,16213,15951,15733,15939,15737,15995,15679,15840,15576,15841,15635,16016,15702,15866,15656,15864,15912,15658,15874,15616,16204,15596,16030,15577,16050,15659,15969,12134,15704,15729,15714,15702,15698,15656,15602,15617,15672,15641,15705,15697,15631,15634,15653,15663,15604,15687,15722,15614,15634,15715,15679,15731,15708,15765,15724,15678,15730,15741,15707,15688,0,237
16794,27480,16420,15751,16214,15963,15732,15973,15721,15992,15667,15855,15541,15862,15654,16026,15674,15881,15648,15897,15922,15675,15882,15633,16213,15601,16050,15567,16049,15677,15980,12151,15728,15746,15717,15707,15701,15673,15625,15646,15675,15633,15705,15704,15640,15648,15669,15671,15624,15707,15746,15644,15659,15731,15694,15754,15695,15763,15761,15696,15739,15759,15702,15690,0,138
